Value,Disaggregation combinations using this value,Number of indicators
0.전국,22,22
1.수도권,22,22
2.충청권,22,22
3.호남권,22,22
4.대경권,22,22
5.동남권,22,22
6.강원권,22,22
7.제주권,22,22
